2026-02-25 19:46:13,338 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:15,108 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:46:15,108 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:46:15,163 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:18,348 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:20,459 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:46:20,460 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:46:20,491 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:23,416 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:23,572 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:25,659 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:46:25,660 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:46:25,707 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:28,788 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:30,895 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:46:30,895 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:46:30,926 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:33,520 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:34,021 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:36,125 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:46:36,125 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:46:36,226 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:39,467 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:41,925 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:46:41,925 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:46:41,988 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:43,605 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:45,194 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:48,064 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:46:48,306 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:46:48,440 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:51,613 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:53,897 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:54,191 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:46:54,191 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:46:54,207 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:57,301 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:46:59,408 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:46:59,408 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:46:59,500 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:02,582 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:04,023 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:04,686 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:47:04,686 | WARNING | computefabric_node | model_missing: llama3
2026-02-25 19:47:04,707 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:07,852 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:47:09,971 | WARNING | computefabric_node | ollama_list_failed
